Source,Region,SubRegion,Country/Territory,DrugGroup,Drug,DrugState,LevelOfSale,Year,Typical price,Minimum price,Maximum price,Unit,Currency
OC2022,Americas,South America,Colombia,Hallucinogens,LSD,,Street,2019,40800.00,,,Blotting paper,"National currency (not EUR, USD or CHF)"
ARQ,Americas,South America,Colombia,Hallucinogens,LSD,,Street,2018,48900.00,,,Blotting paper,"National currency (not EUR, USD or CHF)"
OC2019,Americas,South America,Colombia,Hallucinogens,LSD,,Street,2017,40700.00,,,Dose,"National currency (not EUR, USD or CHF)"
ARQ,Americas,South America,Colombia,Hallucinogens,LSD,,Street,2016,37000.00,,,Dose,"National currency (not EUR, USD or CHF)"
OC2022,Americas,South America,Colombia,Hallucinogens,"4-bromo-2,5-dimethoxyphenethylamine (2C-B)",,Street,2019,69000.00,,,Tablet,"National currency (not EUR, USD or CHF)"
ARQ,Americas,South America,Colombia,Hallucinogens,"4-bromo-2,5-dimethoxyphenethylamine (2C-B)",,Street,2018,65700.00,,,Tablet,"National currency (not EUR, USD or CHF)"
OC2019,Americas,South America,Colombia,Hallucinogens,"4-bromo-2,5-dimethoxyphenethylamine (2C-B)",,Street,2017,69900.00,,,Tablet,"National currency (not EUR, USD or CHF)"
ARQ,Americas,South America,Colombia,Hallucinogens,"4-bromo-2,5-dimethoxyphenethylamine (2C-B)",,Street,2016,132700.00,,,Tablet,"National currency (not EUR, USD or CHF)"
OC2022,Americas,South America,Colombia,Opioids,Heroin,,Wholesale,2019,17466800.00,,,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Americas,South America,Colombia,Opioids,Heroin,,Wholesale,2018,17430100.00,,,Kilogram,"National currency (not EUR, USD or CHF)"
OC2019,Americas,South America,Colombia,Opioids,Heroin,,Wholesale,2017,17967000.00,,,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Americas,South America,Colombia,Opioids,Heroin,,Street,2016,65100.00,,,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Americas,South America,Colombia,Opioids,Heroin,,Wholesale,2016,17136700.00,,,Kilogram,"National currency (not EUR, USD or CHF)"
